"Wavelength, µm","n","k"
5.946,1.51987,0.013
5.9734,1.50926,0.00972
6.0011,1.50118,0.00838
6.029,1.49435,0.00827
6.0571,1.48764,0.00751
6.0856,1.48253,0.00694
6.1143,1.47884,0.00742
6.1433,1.47491,0.00667
6.1725,1.47097,0.00532
6.202,1.46765,0.00453
6.2319,1.46643,0.00401
6.262,1.46464,0.00408
6.2924,1.46087,0.00527
6.3231,1.45796,0.00606
6.3541,1.45577,0.00558
6.3854,1.45217,0.00537
6.417,1.44854,0.00648
6.4489,1.44671,0.00629
6.4811,1.4435,0.00542
6.5137,1.43762,0.00476
6.5466,1.4331,0.00505
6.5798,1.42853,0.00617
6.6134,1.42137,0.00768
6.6473,1.40897,0.013
6.6816,1.39643,0.0301
6.7162,1.40042,0.0529
6.7512,1.41623,0.0633
6.7865,1.42566,0.06
6.8223,1.42389,0.0622
6.8583,1.42504,0.0767
6.8948,1.44056,0.0895
6.9317,1.46227,0.0922
6.969,1.48677,0.081
7.0066,1.50018,0.0516
7.0447,1.48902,0.0248
7.0832,1.46778,0.0176
7.1221,1.45338,0.0218
7.1615,1.44778,0.0312
7.2013,1.45226,0.0384
7.2415,1.45885,0.0347
7.2822,1.45727,0.0269
7.3233,1.4518,0.0231
7.3649,1.44754,0.0208
7.407,1.44133,0.0192
7.4496,1.43513,0.0187
7.4926,1.42887,0.0185
7.5362,1.42116,0.0183
7.5803,1.41302,0.0195
7.6249,1.40311,0.0219
7.67,1.39055,0.0257
7.7156,1.37736,0.0329
7.7618,1.36279,0.0505
7.8086,1.356,0.0837
7.8559,1.37251,0.113
7.9038,1.39429,0.116
7.9523,1.39654,0.115
8.0014,1.402,0.136
8.0511,1.43148,0.149
8.1014,1.46033,0.129
8.1524,1.45648,0.0919
8.204,1.42126,0.0716
8.2562,1.37501,0.0884
8.3091,1.3525,0.149
8.3628,1.38616,0.209
8.4171,1.43783,0.216
8.4721,1.45665,0.198
8.5278,1.45144,0.197
8.5843,1.44384,0.225
8.6415,1.47054,0.29
8.6995,1.57107,0.329
8.7583,1.67665,0.272
8.8179,1.707,0.175
8.8783,1.68709,0.111
8.9395,1.65965,0.0751
9.0016,1.63459,0.0517
9.0645,1.61331,0.0396
9.1284,1.59709,0.0333
9.1931,1.58466,0.0309
9.2588,1.5741,0.0318
9.3254,1.56724,0.0363
9.393,1.56906,0.0383
9.4615,1.57283,0.0286
9.5311,1.56655,0.0147
9.6017,1.55438,0.00769
9.6733,1.54294,0.00546
9.7461,1.5326,0.00525
9.8199,1.52114,0.00758
9.8949,1.50686,0.0143
9.971,1.49485,0.0314
10.048,1.49934,0.0548
10.127,1.51852,0.0629
10.207,1.533,0.0566
10.288,1.53879,0.0532
10.37,1.54718,0.0509
10.453,1.55249,0.0409
10.538,1.54965,0.0304
10.625,1.54551,0.0241
10.713,1.53902,0.0196
10.802,1.53022,0.0187
10.893,1.52592,0.0233
10.985,1.52978,0.0262
11.079,1.5326,0.021
11.174,1.52964,0.0146
11.272,1.52531,0.0127
11.37,1.52193,0.0129
11.471,1.51569,0.0131
11.573,1.50969,0.0156
11.678,1.50613,0.0223
11.784,1.50876,0.0319
11.892,1.52141,0.0351
12.002,1.52918,0.0264
12.114,1.52647,0.0201
12.229,1.52535,0.0194
12.345,1.52615,0.0184
12.464,1.5235,0.0139
12.585,1.51869,0.0082
12.708,1.51532,0.00991
12.834,1.51185,0.0132
12.962,1.506,0.0151
13.093,1.49932,0.0273
13.227,1.50733,0.0448
13.363,1.53088,0.0427
13.502,1.53954,0.0247
13.645,1.53447,0.0124
13.79,1.52827,0.00591
13.938,1.52298,0.00135
14.089,1.51655,0.00128
14.244,1.51365,0.000819
14.403,1.51198,0.00549
14.564,1.51279,0.0064
14.73,1.51337,0.00683
14.899,1.50928,0.0105
15.072,1.50338,0.00796
15.25,1.50371,0.00388
15.431,1.50493,0.00438
15.617,1.50679,0.00701
15.808,1.50412,0.00497
16.003,1.50092,0.00107
16.203,1.5014,0.000334
16.408,1.49947,0.000373
16.618,1.49804,0.000899
